dataset,table_name,column_name,data_type,ordinal_position
finance_dash,fact_billing,billing_id,STRING,1
finance_dash,fact_billing,billing_month,DATE,2
finance_dash,fact_billing,service_uuid,STRING,3
finance_dash,fact_billing,service_type_code,INT64,4
finance_dash,fact_billing,space_id,STRING,5
finance_dash,fact_billing,iban,STRING,6
finance_dash,fact_billing,okpo,STRING,7
finance_dash,fact_billing,amount_of_charges,NUMERIC,8
finance_dash,fact_billing,paid_amount,NUMERIC,9
finance_dash,fact_billing,initial_debt,NUMERIC,10
finance_dash,fact_billing,price_to_pay,NUMERIC,11
finance_dash,fact_billing,unpaid_charges,NUMERIC,12
finance_dash,fact_billing,is_paid,BOOL,13
finance_dash,fact_billing,is_preview,BOOL,14
finance_dash,fact_billing,synced_at,TIMESTAMP,15
finance_dash,fact_billing,record_created_at,TIMESTAMP,16
finance_dash,fact_debt,billing_id,STRING,1
finance_dash,fact_debt,snapshot_month,DATE,2
finance_dash,fact_debt,snapshot_month_end,DATE,3
finance_dash,fact_debt,service_uuid,STRING,4
finance_dash,fact_debt,service_type_code,INT64,5
finance_dash,fact_debt,space_id,STRING,6
finance_dash,fact_debt,iban,STRING,7
finance_dash,fact_debt,okpo,STRING,8
finance_dash,fact_debt,debt_balance,NUMERIC,9
finance_dash,fact_debt,current_month_charges,NUMERIC,10
finance_dash,fact_debt,paid_amount,NUMERIC,11
finance_dash,fact_debt,prior_debt_carryover,NUMERIC,12
finance_dash,fact_debt,is_debtor,BOOL,13
finance_dash,fact_debt,debt_bucket,STRING,14
finance_dash,fact_debt,is_preview,BOOL,15
finance_dash,fact_debt,synced_at,TIMESTAMP,16
finance_dash,fact_payments,operation_id,STRING,1
finance_dash,fact_payments,transaction_id,STRING,2
finance_dash,fact_payments,billing_id,STRING,3
finance_dash,fact_payments,payment_date,DATE,4
finance_dash,fact_payments,payment_month,DATE,5
finance_dash,fact_payments,payer_id,STRING,6
finance_dash,fact_payments,payment_amount,FLOAT64,7
finance_dash,fact_payments,commission_amount,NUMERIC,8
finance_dash,fact_payments,payment_provider,STRING,9
finance_dash,fact_payments,transaction_type,STRING,10
finance_dash,fact_payments,bank_payment_reference,STRING,11
finance_dash,fact_payments,operation_status,STRING,12
finance_dash,fact_payments,transaction_status,STRING,13
finance_dash,mart_billing_flat,billing_id,STRING,1
finance_dash,mart_billing_flat,billing_month,DATE,2
finance_dash,mart_billing_flat,amount_of_charges,NUMERIC,3
finance_dash,mart_billing_flat,paid_amount,NUMERIC,4
finance_dash,mart_billing_flat,unpaid_charges,NUMERIC,5
finance_dash,mart_billing_flat,initial_debt,NUMERIC,6
finance_dash,mart_billing_flat,price_to_pay,NUMERIC,7
finance_dash,mart_billing_flat,is_paid,BOOL,8
finance_dash,mart_billing_flat,synced_at,TIMESTAMP,9
finance_dash,mart_billing_flat,record_created_at,TIMESTAMP,10
